BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
14558 KESWICK ST,425463899040,,NOT COMPLIED,,,,,,,,,,,,,,91405,2021,,,,,,,,028,"20,000 to 49,999 sqft"
5500 S FIGUEROA ST,476102819647,138.1,NOT COMPLIED,29.5,29.5,15,No,Not Available,Not Available,"Vert Energy Group, Inc.",44769,Not Available,Not Available,1,100,Not Available,90037,2020,Multifamily Housing,54.7,99.9,2859.8,55.3,100.5,2001,054,"20,000 to 49,999 sqft"
5115 WILSHIRE BLVD,458293845246,405.87,COMPLIED,-4.4,-4.4,56,No,Not Available,Not Available,"Conservice, LLC",169095,Not Available,Not Available,1,95,Not Available,90036,2024,Multifamily Housing,40.8,73.5,5969.6,40.3,72.9,2005,035,"100,000+ sqft"
5650 FAIR AVE,448460885789,65.9,COMPLIED,-27,-27,88,No,Not Available,Not Available,Unknown,31030,Not Available,Not Available,1,100,Not Available,91601,2021,Multifamily Housing,38.4,59.8,1.6,39.1,60.6,2010,011,"20,000 to 49,999 sqft"
4715 S ALAMEDA ST,488532822539,64.1,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Victory 2020, LLC",65000,Not Available,Not Available,1,100,Not Available,90058,2021,Manufacturing/Industrial Plant,16.3,45.6,244.3,16.3,45.6,2007,011,"50,000 to 99,999 sqft"
1615 N MARTEL AVE,455587859077,33.5,COMPLIED,-52.8,-52.8,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",27777,Not Available,Not Available,1,100,Not Available,90046,2020,Multifamily Housing,20,40.3,837.1,20,40.3,1961,015,"20,000 to 49,999 sqft"
5515 PENFIELD AVE,389675885105,,NOT COMPLIED,,,,,,,,,,,,,,91364,2021,,,,,,,,026,"20,000 to 49,999 sqft"
1625 STONER AVE,423570837725,24.2,COMPLIED,-70.2,-70.2,100,Yes,Not Available,Not Available,Unknown,30095,Not Available,Not Available,1,100,Not Available,90025,2020,Multifamily Housing,13.8,24.1,1303.9,13.9,24.2,1960,022,"20,000 to 49,999 sqft"
1762 WESTWOOD BLVD,429165841119,74.3,COMPLIED,-32.2,-32.2,76,Yes,Not Available,Not Available,Robhana Group,36065,531.1,14.72,1,100,Not Available,90024,2020,Office,34,95.3,531.1,33.8,94.7,1985,040,"20,000 to 49,999 sqft"
8435 CANOGA AVE,380838904006,7.3,COMPLIED,-85.3,-85.3,Not Available,No,Not Available,Not Available,Gipson Hoffman & Pancione,21824,Not Available,Not Available,1,100,Not Available,91304,2023,Worship Facility,4.7,13.2,34.4,4.7,13.2,1979,078,"20,000 to 49,999 sqft"
9344 NATIONAL BLVD,441759833953,47.2,COMPLIED,-4.2,-4.2,56,No,Not Available,Not Available,Unknown,24000,Not Available,Not Available,1,95,Not Available,90034,2019,Multifamily Housing,32.3,67.6,692.7,32.3,67.7,1971,011,"20,000 to 49,999 sqft"
1545 N BRONSON AVE,465276858774,130.4,COMPLIED,-2.1,-2.1,53,No,Not Available,Not Available,"Vert Energy Group, Inc.",41712,Not Available,Not Available,1,80,Not Available,90028,2022,Multifamily Housing,51,100.8,4949.9,50.5,100.2,1964,026,"20,000 to 49,999 sqft"
3025 GLEASON AVE,500822836634,73.3,COMPLIED,-31.6,-31.6,93,No,10/30/2023,2023,Cordova Development,32224,Not Available,Not Available,1,100,Not Available,90063,2023,Multifamily Housing,39.3,59.5,1388.4,38.3,58.4,1979,031,"20,000 to 49,999 sqft"
1332 S HOPE ST,481067836498,103.4,COMPLIED,-5.5,-5.5,58,No,Not Available,Not Available,"Solari Enterprises, Inc.",43000,Not Available,Not Available,1,85,Not Available,90015,2022,Multifamily Housing,35.1,98.3,13666.2,35.1,98.3,1929,011,"20,000 to 49,999 sqft"
1247 INGRAHAM ST,480877841795,51.7,COMPLIED,-37.2,-37.2,95,Yes,Not Available,Not Available,"Stone, Stanley and Dorothy TRS Stone Family Trust",20588,Not Available,Not Available,1,95,Not Available,90017,2021,Multifamily Housing,45.9,66.2,2241.9,45.9,66.2,1929,018,"20,000 to 49,999 sqft"
15030 KESWICK ST,422448899140,,NOT COMPLIED,,,,,,,,,,,,,,91405,2021,,,,,,,,023,"20,000 to 49,999 sqft"
18550 CITRONIA ST,398992911908,183,COMPLIED,2.6,2.6,46,No,Not Available,Not Available,"Vert Energy Group, Inc.",62437,Not Available,Not Available,2,100,Not Available,91324,2020,Multifamily Housing,49.3,93.5,3885.4,50.4,94.7,1971,005,"50,000 to 99,999 sqft"
13838 VICTORY BLVD,430193890498,104.7,COMPLIED,6.2,6.2,40,No,Not Available,Not Available,"Vert Energy Group, Inc.",21336,Not Available,Not Available,1,100,Not Available,91401,2020,Multifamily Housing,87.4,127,1909.8,97.2,137.2,1960,071,"20,000 to 49,999 sqft"
1733 BELOIT AVE,426449839125,126,COMPLIED,-16.5,-16.5,63,No,Not Available,Not Available,"Vert Energy Group, Inc.",35308,Not Available,Not Available,1,100,Not Available,90025,2022,Office,57.8,117.4,2622.7,58.3,117.9,1924,026,"50,000 to 99,999 sqft"
679 S ANDERSON ST,493916835321,16.5,COMPLIED,-53.5,-53.5,87,Yes,08/16/2021,2021,Rexford Industrial,47490,Not Available,Not Available,1,100,Not Available,90023,2021,Mixed Use Property,5.7,16.1,65.8,5.7,16.1,1965,055,"20,000 to 49,999 sqft"
232 UNION PL,481085844680,67.5,COMPLIED,-37.5,-37.5,96,Yes,Not Available,Not Available,Unknown,37446,Not Available,Not Available,1,100,Not Available,90026,2020,Multifamily Housing,30.7,55,3.4,31.3,55.6,1915,004,"20,000 to 49,999 sqft"
13335 SATICOY ST,433593898759,44.7,COMPLIED,-41.2,-41.2,Not Available,No,Not Available,Not Available,Goodman,36000,Not Available,Not Available,1,100,Not Available,91605,2020,Other,18.7,52.5,196.7,17.9,50.1,1972,011,"20,000 to 49,999 sqft"
11611 SAN VICENTE BLVD,421509842458,374.6,COMPLIED,-33.0,-33.0,82.0,No,Not Available,Not Available,Brentwood Gateway,105000.0,Not Available,Not Available,1.0,95.0,Not Available,90049,2017,Office,48.0,144.0,Not Available,47.8,142.0,1977,001,"100,000+ sqft"
801 S FLOWER ST,482766839697,119.3,COMPLIED,12.8,12.8,40,No,Not Available,Not Available,"Vert Energy Group, Inc.",32000,Not Available,Not Available,1,100,Not Available,90017,2020,Office,56.3,157.5,589.5,56.3,157.5,1963,029,"20,000 to 49,999 sqft"
3330 W ADAMS BLVD,464430833960,14.7,COMPLIED,-89.1,-89.1,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",145718,Not Available,Not Available,1,100,Not Available,90018,2021,Worship Facility,1.7,4.7,525.9,1.7,4.7,1955,035,"100,000+ sqft"
287 S UNION AVE,480479844835,,NOT COMPLIED,,,,,,,,,,,,,,90026,2021,,,,,,,,030,"20,000 to 49,999 sqft"
6209 RESEDA BLVD,399397889328,109.5,COMPLIED,-5.7,-5.7,59,No,Not Available,Not Available,"Vert Energy Group, Inc.",33323,Not Available,Not Available,1,100,Not Available,91335,2019,Multifamily Housing,59.1,97,3257.8,59.1,97,1972,035,"20,000 to 49,999 sqft"
320 ARNAZ DR,445860849122,50.2,NOT COMPLIED,-48.6,-48.6,100,No,Not Available,Not Available,https://www.studioarnazapts.com/,40000,Not Available,Not Available,1,100,Not Available,90048,2021,Multifamily Housing,20.7,39.3,669.5,20.3,38.9,1984,057,"20,000 to 49,999 sqft"
3735 BAGLEY AVE,441587832339,43.1,COMPLIED,-37.9,-37.9,96,Yes,Not Available,Not Available,Unknown,31665,Not Available,Not Available,1,100,Not Available,90034,2020,Multifamily Housing,21.1,53.9,1230.5,21.1,53.9,1990,046,"20,000 to 49,999 sqft"
20445 SATICOY ST,386644898946,90.3,COMPLIED,13.5,13.5,30,No,Not Available,Not Available,"Vert Energy Group, Inc.",28594,Not Available,Not Available,1,100,Not Available,91306,2019,Multifamily Housing,56.5,95.8,2281.2,56.5,95.6,1980,029,"20,000 to 49,999 sqft"
8065 EMERSON AVE,438809810470,16.6,NOT COMPLIED,-65.3,-65.3,98,No,Not Available,Not Available,Westchester United Methodist Church,28932,Not Available,Not Available,1,100,Not Available,90045,2018,Worship Facility,10.2,18.3,375,10.5,18.7,1957,014,"20,000 to 49,999 sqft"
9700 OWENSMOUTH AVE,380028912697,65.6,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,EZ Realty,30000,Not Available,Not Available,1,100,Not Available,91311,2020,Manufacturing/Industrial Plant,36.2,101.2,472,36.2,101.2,1978,004,"20,000 to 49,999 sqft"
427 S WESTLAKE AVE,478795844391,107.3,COMPLIED,-22,-22,82,No,Not Available,Not Available,"Bay Efficiency, LLC",44791,Not Available,Not Available,1,100,Not Available,90057,2021,Multifamily Housing,40.9,65,6238,39.1,63.2,1963,018,"20,000 to 49,999 sqft"
825 COLORADO BLVD,505819873678,95.2,COMPLIED,-50.6,-50.6,91,No,Not Available,Not Available,Frank De Pietro and Sons,54287,Not Available,Not Available,1,95,Not Available,90041,2020,Office,29,80.4,2150.4,28.7,79.1,1974,012,"50,000 to 99,999 sqft"
12884 BRADLEY AVE,423490933486,42.8,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Anoa Properties LLC,39800,285.1,7.16,1,100,Not Available,91342,2021,Manufacturing/Industrial Plant,17.7,49.7,285.1,17.7,49.7,1970,010,"20,000 to 49,999 sqft"
2221 S MAIN ST,480722832675,17.8,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",34427,Not Available,Not Available,1,100,Not Available,90007,2020,Manufacturing/Industrial Plant,7.8,21.9,51.6,7.8,21.9,1958,007,"20,000 to 49,999 sqft"
7323 S MAIN ST,478467812680,,NOT COMPLIED,,,,,,,,,,,,,,90003,2021,,,,,,,,029,"20,000 to 49,999 sqft"
2711 ELLENDALE PL,473982833569,83,COMPLIED,-41.2,-41.2,98,Yes,Not Available,Not Available,Yardi Energy,41771,Not Available,Not Available,1,95,Not Available,90007,2020,Multifamily Housing,34.6,56.4,1757.2,36.7,58.6,1971,027,"20,000 to 49,999 sqft"
3729 CLARINGTON AVE,439850831316,40.7,COMPLIED,-27.1,-27.1,88,No,Not Available,Not Available,Unknown,18000,Not Available,Not Available,1,95,Not Available,90034,2019,Multifamily Housing,40.1,59.8,640.3,40.3,60,1958,009,"20,000 to 49,999 sqft"
939 N MARIPOSA AVE,470968854426,,NOT COMPLIED,,,,,,,,,,,,,,90029,2019,,,,,,,,035,"20,000 to 49,999 sqft"
8700 PERSHING DR,427980806270,377.4,COMPLIED,-31.1,-31.1,99.0,No,Not Available,Not Available,equity residential,183174.0,Not Available,Not Available,1.0,95.0,Not Available,90293,2019,Multifamily Housing,35.3,61.4,6646.3,35.5,61.5,2004,159,"100,000+ sqft"
8755 W OLYMPIC BLVD,445755844279,,NOT COMPLIED,,,,,,,,,,,,,,90035,2021,,,,,,,,025,"20,000 to 49,999 sqft"
20341 HARVARD BLVD,468503766568,95,COMPLIED,-34.5,-34.5,95,Yes,Not Available,Not Available,"Mashcole Property Management, Inc.",40170,Not Available,Not Available,1,100,Not Available,90501,2020,Multifamily Housing,41.2,66.8,2158.1,41.2,66.8,1985,040,"20,000 to 49,999 sqft"
3510 S CENTRAL AVE,484063826734,14.2,COMPLIED,-46.2,-46.2,79,No,Not Available,Not Available,DOYUP LLC,32500,Not Available,Not Available,1,100,Not Available,90011,2018,Non-Refrigerated Warehouse,6.6,18.4,35.9,6.5,18.3,1979,037,"20,000 to 49,999 sqft"
3939 COCO AVE,455583828127,70.6,COMPLIED,2.3,2.3,46,No,Not Available,Not Available,"Vert Energy Group, Inc.",25710,Not Available,Not Available,1,100,Not Available,90008,2020,Multifamily Housing,48.4,70.7,1712.3,48.4,70.7,1956,013,"20,000 to 49,999 sqft"
15120 W SUNSET BLVD,402922839242,,NOT COMPLIED,,,,,,,,,,,,,,90272,2021,,,,,,,,019,"20,000 to 49,999 sqft"
245 S RENO ST,475851847585,,NOT COMPLIED,,,,,,,,,,,,,,90057,2019,,,,,,,,027,"20,000 to 49,999 sqft"
19040 W VANOWEN ST,396142893155,358.3,COMPLIED,112.6,112.6,Not Available,No,Not Available,Not Available,ece_cola_gsd,55206,Not Available,Not Available,1,100,Not Available,91335,2021,Police Station,110.3,265.5,477.1,110.3,265.5,1990,906,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
5922 BOWCROFT ST,447446829420,145,COMPLIED,-23.7,-23.7,69,No,Not Available,Not Available,The Rader Company,50000,Not Available,Not Available,1,100,Not Available,90016,2019,Office,43.4,113.1,312.7,43.4,113.2,1960,031,"20,000 to 49,999 sqft"
10850 MOORPARK ST,450524877196,,NOT COMPLIED,,,,,,,,,,,,,,91602,2021,,,,,,,,019,"20,000 to 49,999 sqft"
2551 S MOTOR AVE,438038839057,,NOT COMPLIED,,,,,,,,,,,,,,90064,2021,,,,,,,,900,"15,000 to 19,999 sqft (CITY OWNED BUILDING)"
7255 INDEPENDENCE AVE,382889896781,139.1,COMPLIED,-14,-14,71,No,Not Available,Not Available,"Vert Energy Group, Inc.",56610,Not Available,Not Available,1,100,Not Available,91303,2020,Multifamily Housing,43.3,83.2,4112,44.2,84.1,1985,007,"50,000 to 99,999 sqft"
8700 TAMPA AVE,394601906095,,NOT COMPLIED,,,,,,,,,,,,,,91324,2019,,,,,,,,061,"50,000 to 99,999 sqft"
1759 BELOIT AVE,426493839104,121.1,NOT COMPLIED,-25,-25,85,Yes,Not Available,Not Available,Yardi Energy,46450,Not Available,Not Available,1,95,Not Available,90025,2020,Multifamily Housing,43.5,85,3114.9,43.7,85.2,2009,004,"20,000 to 49,999 sqft"
3062 W 4TH ST,475030846681,55.4,COMPLIED,-7.4,-7.4,61,No,Not Available,Not Available,"Vert Energy Group, Inc.",25925,Not Available,Not Available,1,100,Not Available,90020,2020,Multifamily Housing,37.7,71.4,1455,38.4,72.1,1988,037,"20,000 to 49,999 sqft"
7810 TOPANGA CANYON BLVD,378625900138,57.9,NOT COMPLIED,-61.5,-61.5,100,Yes,Not Available,Not Available,Yardi Energy,55500,Not Available,Not Available,1,95,Not Available,91304,2020,Multifamily Housing,16.4,40.3,1727.3,16.4,40.3,1983,054,"50,000 to 99,999 sqft"
12751 W MILLENIUM BLVD,435507814118,608.5,COMPLIED,181.4,181.4,1,No,Not Available,Not Available,Invesco Real Estate US,127927,Not Available,Not Available,1,100,Not Available,90094,2021,Multifamily Housing,81,192.2,5252.2,80.7,191.8,2015,053,"100,000+ sqft"
5245 WHITSETT AVE,439005883109,65.4,COMPLIED,-10.9,-10.9,67,No,Not Available,Not Available,Karasik Construction Company,21799,Not Available,Not Available,1,90,Not Available,91607,2021,Multifamily Housing,54.5,81.9,1619.5,55.4,82.9,1957,030,"20,000 to 49,999 sqft"
12320 BURBANK BLVD,440153885071,81.2,COMPLIED,-14.9,-14.9,73,No,Not Available,Not Available,"Vert Energy Group, Inc.",51872,Not Available,Not Available,1,100,Not Available,91607,2020,Multifamily Housing,26.3,67.3,1812.5,26.3,67.3,1964,012,"50,000 to 99,999 sqft"
6434 YUCCA ST,461571860286,57.3,NOT COMPLIED,-34.7,-34.7,94,Yes,Not Available,Not Available,Yardi Energy,27032,Not Available,Not Available,1,95,Not Available,90028,2020,Multifamily Housing,35.8,66.7,4.6,35.8,66.7,1923,013,"20,000 to 49,999 sqft"
932 S WESTMORELAND AVE,474184842399,38.8,COMPLIED,-21.2,-21.2,81,No,Not Available,Not Available,"Vert Energy Group, Inc.",20445,Not Available,Not Available,1,100,Not Available,90006,2023,Multifamily Housing,30.7,58.7,1235.8,30.7,58.7,1964,001,"20,000 to 49,999 sqft"
18107 SHERMAN WAY,402123896129,23.3,COMPLIED,-67.4,-67.4,97,No,Not Available,Not Available,"Vert Energy Group, Inc.",20900,Not Available,Not Available,1,100,Not Available,91335,2020,Office,17.3,44.3,89.8,17.9,44.9,1960,019,"20,000 to 49,999 sqft"
940 N ARDMORE AVE,470395854420,48.1,COMPLIED,-12.1,-12.1,74,No,Not Available,Not Available,"Vert Energy Group, Inc.",23191,Not Available,Not Available,1,95,Not Available,90029,2021,Multifamily Housing,36.7,68.1,893.2,36,67.3,1987,039,"20,000 to 49,999 sqft"
17950 BURBANK BLVD,403205885398,91.3,COMPLIED,-11.1,-11.1,68,No,Not Available,Not Available,"Vert Energy Group, Inc.",34914,Not Available,Not Available,1,100,Not Available,91316,2020,Multifamily Housing,43.5,86.3,2319.7,44.5,87.4,1964,025,"20,000 to 49,999 sqft"
1480 VINE ST,462869858092,529.7,COMPLIED,120.3,120.3,1.0,No,Not Available,Not Available,Sares-Regis,130783.0,Not Available,Not Available,1.0,100.0,Not Available,90028,2018,Multifamily Housing,59.4,152.7,2854.6,59.5,152.8,1961,029,"100,000+ sqft"
5266 CORTEEN PL,440130883318,61.2,COMPLIED,-15,-15,74,No,Not Available,Not Available,Lawrence Levine,32018,Not Available,Not Available,1,100,Not Available,91607,2021,Multifamily Housing,33.3,68.8,1029.3,33.6,69.1,1972,024,"20,000 to 49,999 sqft"
9400 LA TIJERA BLVD,435245806462,260.3,COMPLIED,-37.0,-37.0,99.0,No,Not Available,Not Available,equity residential,137907.0,Not Available,Not Available,1.0,95.0,Not Available,90045,2017,Multifamily Housing,30.4,59.5,3981.1,31.1,60.2,1987,004,"100,000+ sqft"
914 E 31ST ST,483052828181,324.2,COMPLIED,81.6,81.6,17,No,Not Available,Not Available,"Bay Efficiency, LLC",42000,Not Available,Not Available,1,100,Not Available,90011,2019,Refrigerated Warehouse,127.6,356.4,1477.4,127.6,356.4,1982,043,"20,000 to 49,999 sqft"
420 S LA FAYETTE PARK PL,476481846019,85.7,NOT COMPLIED,-42,-42,98,No,Not Available,Not Available,"Vert Energy Group, Inc.",80898,Not Available,Not Available,1,100,Not Available,90057,2020,Multifamily Housing,16,44.7,Not Available,16,44.7,1970,006,"50,000 to 99,999 sqft"
5837 W SUNSET BLVD,112217100519,194.6,COMPLIED,-12.8,-12.8,72,No,Not Available,Not Available,Yardi Energy fbo Legacy Residential,70812,Not Available,Not Available,1,95,Not Available,90028,2022,Multifamily Housing,44.6,89.7,2050.4,44.2,89.2,2016,053,"50,000 to 99,999 sqft"
22020 CLARENDON ST,378106884597,68.3,COMPLIED,-20.8,-20.8,66,No,Not Available,Not Available,"Vert Energy Group, Inc.",26616,Not Available,Not Available,1,100,Not Available,91367,2020,Office,38.7,108.3,219.9,38.7,108.3,1989,091,"20,000 to 49,999 sqft"
260 S SYCAMORE AVE,457937847754,27.7,COMPLIED,-75.1,-75.1,Not Available,No,Not Available,Not Available,"DEUTSCH, PTASHKIN, KIN",21552,Not Available,Not Available,1,100,Not Available,90036,2022,Multifamily Housing,23.2,29.5,1098.9,23.2,29.5,1956,010,"20,000 to 49,999 sqft"
9171 OSO AVE,387580909236,203.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Rexford Industrial,65560,Not Available,Not Available,1,100,Not Available,91311,2021,Manufacturing/Industrial Plant,51.3,142.8,1274.7,50.4,140.1,1980,025,"50,000 to 99,999 sqft"
2222 SANTA ANA BLVD,490871798745,,NOT COMPLIED,,,,,,,,,,,,,,90059,2021,,,,,,,,052,"20,000 to 49,999 sqft"
5600 FERNWOOD AVE,467480857317,,NOT COMPLIED,,,,,,,,,,,,,,90028,2021,,,,,,,,041,"20,000 to 49,999 sqft"
13278 RALSTON AVE,418945936768,16,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,The Habitz Trust,21049,Not Available,Not Available,1,100,60.6,91342,2020,Non-Refrigerated Warehouse,11.7,28,60.6,11.7,28,1986,041,"20,000 to 49,999 sqft"
8363 RESEDA BLVD,399418903791,23.4,COMPLIED,-84.3,-84.3,Not Available,No,Not Available,Not Available,A & B Property Management,25760,1189.2,46.17,1,80,Not Available,91324,2020,Strip Mall,14.2,35.8,1189.2,13.8,34.3,1980,004,"20,000 to 49,999 sqft"
21051 WARNER CENTER LN,382601886649,110.4,COMPLIED,-74.5,-74.5,99,No,Not Available,Not Available,"Adler Realty Investments, Inc.",60219,Not Available,Not Available,1,80,Not Available,91367,2018,Office,34.5,36.2,1491.6,34.5,36.2,1982,008,"50,000 to 99,999 sqft"
21334 DEVONSHIRE ST,381437916428,,NOT COMPLIED,,,,,,,,,,,,,,91311,2024,,,,,,,,061,"20,000 to 49,999 sqft"
6912 HOLLYWOOD BLVD,458601859418,63.6,COMPLIED,-47.4,-47.4,90,No,09/05/2023,"2023, 2022, 2021",ASB Real Estate Investments,44911,110.7,2.47,1,85,Not Available,90028,2022,Office,20,55.9,110.7,20,55.9,1921,008,"20,000 to 49,999 sqft"
8380 NORTHGATE AVE,379199903780,,NOT COMPLIED,,,,,,,,,,,,,,91304,2021,,,,,,,,010,"20,000 to 49,999 sqft"
1200 S HOOVER ST,475675840401,103.1,COMPLIED,-20.6,-20.6,80,Yes,Not Available,Not Available,"Vert Energy Group, Inc.",41172,Not Available,Not Available,1,100,Not Available,90006,2021,Multifamily Housing,45.2,72,3447,45.2,72,1924,004,"20,000 to 49,999 sqft"
21350 PARTHENIA ST,381270905897,74.9,COMPLIED,-7.2,-7.2,61.0,No,Not Available,Not Available,Yardi Energy,20852.0,Not Available,Not Available,1.0,95.0,Not Available,91304,2018,Multifamily Housing,61.7,96.5,1524.0,62.6,97.5,1988,040,"20,000 to 49,999 sqft"
10767 ROSE AVE,435775832237,69.2,COMPLIED,-32.2,-32.2,93,Yes,Not Available,Not Available,"Boca Raton Apartments, LLC",26110,Not Available,Not Available,1,95,Not Available,90034,2021,Multifamily Housing,48.1,72.6,1057.7,47.1,71.6,1957,019,"20,000 to 49,999 sqft"
8750 TAMPA AVE,394514906417,149.3,NOT COMPLIED,40.4,40.4,18,No,Not Available,Not Available,"Vert Energy Group, Inc.",31958,Not Available,Not Available,1,100,Not Available,91324,2020,Wholesale Club/Supercenter,70.5,197.3,472.8,70.5,197.3,1974,058,"20,000 to 49,999 sqft"
6500 YUCCA ST,461313860309,189.3,NOT COMPLIED,-21.8,-21.8,82,Yes,Not Available,Not Available,Yardi Energy,93635,Not Available,Not Available,1,95,Not Available,90028,2020,Multifamily Housing,35.3,56.8,2635.9,35.9,57.5,1928,001,"50,000 to 99,999 sqft"
616 S ST PAUL AVE,482599841590,627.8,COMPLIED,-11.8,-11.8,68,No,Not Available,Not Available,Yardi Energy,254608,Not Available,Not Available,1,100,Not Available,90017,2020,Multifamily Housing,42.2,74.2,8886.9,43.4,75.5,2011,008,"100,000+ sqft"
13336 PAXTON ST,433851922785,871,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",27000,Not Available,Not Available,1,100,Not Available,91331,2020,Manufacturing/Industrial Plant,580.8,797.2,1419.1,580.8,797.2,1984,032,"20,000 to 49,999 sqft"
915 E 4TH ST,490150838401,7.6,COMPLIED,-85.9,-85.9,Not Available,No,Not Available,Not Available,P W WOO AND SONS INC TRUST,23520,50.1,2.13,1,100,Not Available,90013,2020,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",4.9,13.6,50.1,4.9,13.6,1922,017,"20,000 to 49,999 sqft"
2638 PORTLAND ST,476059833294,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,University of Southern California,56700,Not Available,Not Available,1,100,Not Available,90007,2020,Multifamily Housing,Not Available,Not Available,211,Not Available,Not Available,1981,407,"20,000 to 49,999 sqft"
9400 LA TIJERA BLVD,435776806399,516.0,COMPLIED,-34.2,-34.2,98.0,No,Not Available,Not Available,equity residential,278304.0,Not Available,Not Available,1.0,95.0,Not Available,90045,2017,Multifamily Housing,29.9,58.3,7961.5,30.6,59.1,1987,004,"100,000+ sqft"
3675 CLARINGTON AVE,439691831717,40.9,COMPLIED,-57.8,-57.8,Not Available,No,Not Available,Not Available,Unknown,21660,Not Available,Not Available,1,100,Not Available,90034,2019,Multifamily Housing,33.5,49.8,640.3,33.7,50,1980,032,"20,000 to 49,999 sqft"
19926 ROSCOE BLVD,390041902856,85.5,COMPLIED,-13.3,-13.3,70,No,Not Available,Not Available,"Vert Energy Group, Inc.",28910,Not Available,Not Available,1,100,Not Available,91306,2020,Multifamily Housing,53.4,85.1,2322.7,55.9,87.8,1963,003,"20,000 to 49,999 sqft"
5612 FARMDALE AVE,446520885498,33.1,COMPLIED,-20.7,-20.7,Not Available,No,Not Available,Not Available,Church of Scientology of the Valley,26800,Not Available,Not Available,1,10,Not Available,91601,2022,Worship Facility,18,46.3,227.4,17.4,44,1972,034,"20,000 to 49,999 sqft"
17115 CHATSWORTH ST,408895919222,,NOT COMPLIED,,,,,,,,,,,,,,91344,2023,,,,,,,,027,"20,000 to 49,999 sqft"
6611 HASKELL AVE,417985892202,128.2,COMPLIED,-14.6,-14.6,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",38081,Not Available,Not Available,1,100,Not Available,91406,2020,Multifamily Housing,57.7,100.9,3046.8,60.7,104,1980,035,"20,000 to 49,999 sqft"
1007 ELKGROVE AVE,422282822910,,NOT COMPLIED,,,,,,,,,,,,,,90291,2021,,,,,,,,038,"20,000 to 49,999 sqft"
12411 MAGNOLIA BLVD,439577882691,123.1,COMPLIED,-1.5,-1.5,52,No,Not Available,Not Available,"Vert Energy Group, Inc.",57858,Not Available,Not Available,1,100,Not Available,91607,2020,Multifamily Housing,37.7,69.5,2302.5,38.3,70.2,1974,020,"50,000 to 99,999 sqft"
1400 KELTON AVE,427470842415,,NOT COMPLIED,,,,,,,,,,,,,,90024,2019,,,,,,,,032,"20,000 to 49,999 sqft"
13320 RIVERSIDE DR,433629879904,,NOT COMPLIED,,,,,,,,,,,,,,91423,2020,,,,,,,,005,"20,000 to 49,999 sqft"
671 S CORONADO ST,476185844284,,NOT COMPLIED,,,,,,,,,,,,,,90057,2021,,,,,,,,002,"50,000 to 99,999 sqft"
9610 DE SOTO AVE,384011912209,,NOT COMPLIED,,,,,,,,,,,,,,91311,2021,,,,,,,,035,"20,000 to 49,999 sqft"
12565 STRATHERN ST,438270901477,,NOT COMPLIED,,,,,,,,,,,,,,91605,2021,,,,,,,,002,"20,000 to 49,999 sqft"
3408 W SUNSET BLVD,478033854408,,NOT COMPLIED,,,,,,,,,,,,,,90026,2021,,,,,,,,009,"20,000 to 49,999 sqft"
1204 VENICE BLVD,476469837845,,NOT COMPLIED,,,,,,,,,,,,,,90006,2021,,,,,,,,021,"20,000 to 49,999 sqft"
10520 NATIONAL BLVD,436407833568,49.4,COMPLIED,-13,-13,70,No,Not Available,Not Available,Unknown,22237,Not Available,Not Available,1,100,Not Available,90034,2019,Multifamily Housing,37.2,71.8,819.9,37.3,71.9,1987,049,"20,000 to 49,999 sqft"
