BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
1815 MORTON AVE,485694852990,112,COMPLIED,-39,-39,98,No,01/12/2023,"2022, 2021","Conservice, LLC",54433,Not Available,Not Available,3,100,Not Available,90026,2019,Multifamily Housing,36.8,63.6,2751.7,36.2,63,1972,026,"50,000 to 99,999 sqft"
4443 MOORPARK WAY,453288877731,,NOT COMPLIED,,,,,,,,,,,,,,91602,2022,,,,,,,,014,"20,000 to 49,999 sqft"
6911 HOLLYWOOD BLVD,458449859785,138.8,COMPLIED,218.1,218.1,Not Available,No,Not Available,Not Available,"Chinese Theatres, LLC",15000,Not Available,Not Available,1,20,Not Available,90028,2021,Movie Theater,132.7,356.3,463.7,133.6,358.7,1927,022,"20,000 to 49,999 sqft"
4225 MARY ELLEN AVE,434548876160,41.5,COMPLIED,-53.9,-53.9,Not Available,No,Not Available,Not Available,"RealPage Utility Management, Inc.",25038,Not Available,Not Available,1,95,Not Available,91604,2022,Multifamily Housing,26.8,54.5,837.8,27.8,55.6,1963,023,"20,000 to 49,999 sqft"
8800 WOODMAN AVE,429828906394,28.1,COMPLIED,-10.7,-10.7,56,No,Not Available,Not Available,Calvary Lutheran Church,22100,Not Available,Not Available,1,100,Not Available,91331,2020,Worship Facility,19.9,49.4,2.5,19.2,47.6,1951,015,"20,000 to 49,999 sqft"
12401 WILSHIRE BLVD,419024837939,,NOT COMPLIED,,,,,,,,,,,,,,90025,2022,,,,,,,,036,"20,000 to 49,999 sqft"
2100 S WESTERN AVE,467133722137,,NOT COMPLIED,,,,,,,,,,,,,,90732,2022,,,,,,,,015,"100,000+ sqft"
424 N WESTERN AVE,468138851144,31.9,COMPLIED,28.9,28.9,33,No,Not Available,Not Available,"Bay Efficiency, LLC",22025,Not Available,Not Available,1,100,Not Available,90004,2022,Worship Facility,20.4,57.1,50.1,20.4,57.1,1964,031,"20,000 to 49,999 sqft"
2520 W 7TH ST,476272843698,,NOT COMPLIED,,,,,,,,,,,,,,90057,2022,,,,,,,,029,"20,000 to 49,999 sqft"
5221 W 102ND ST,449006802205,8,COMPLIED,-76.4,-76.4,Not Available,No,Not Available,Not Available,Self Storage Management Company,29760,Not Available,Not Available,1,90,Not Available,90045,2020,Self-Storage Facility,4,11.3,123.4,4,11.3,1953,020,"20,000 to 49,999 sqft"
980 MENLO AVE,473798841731,,NOT COMPLIED,,,,,,,,,,,,,,90006,2022,,,,,,,,027,"20,000 to 49,999 sqft"
14911 W CALIFA ST,112217100612,,NOT COMPLIED,,,,,,,,,,,,,,91411,2022,,,,,,,,022,"50,000 to 99,999 sqft"
523 S WESTMORELAND AVE,474201845954,96.9,COMPLIED,-16.5,-16.5,75,Yes,Not Available,Not Available,Unknown,30280,Not Available,Not Available,1,100,Not Available,90020,2020,Multifamily Housing,56.3,86.7,3017.6,57.8,88.2,2000,019,"20,000 to 49,999 sqft"
9401 WINNETKA AVE,388689910799,169,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",71268,Not Available,Not Available,1,100,Not Available,91311,2022,Manufacturing/Industrial Plant,36.6,87.1,985.2,40.7,91.4,1974,028,"20,000 to 49,999 sqft"
2268 W 14TH ST,474293839289,81.3,COMPLIED,-17,-17,75,Yes,Not Available,Not Available,Linder and Associates,26096,Not Available,Not Available,1,100,Not Available,90006,2020,Multifamily Housing,54.8,84.4,5688.9,55.7,85.3,1928,015,"20,000 to 49,999 sqft"
6300 W SUNSET BLVD,462667858091,,NOT COMPLIED,,,,,,,,,,,,,,90028,2022,,,,,,,,026,"20,000 to 49,999 sqft"
6323 10TH AVE,462130816093,,NOT COMPLIED,,,,,,,,,,,,,,90043,2022,,,,,,,,905,"20,000 to 49,999 sqft"
1000 W 190TH ST,471731770636,260.2,COMPLIED,121.9,121.9,9,No,Not Available,Not Available,"Unire Real Estate Group, Inc.",129656,Not Available,Not Available,1,100,Not Available,90502,2019,Non-Refrigerated Warehouse,33.3,91.6,677.7,33.1,91.5,1980,031,"100,000+ sqft"
3217 EXPOSITION PL,461167830402,24,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Charles Gemeiner Cabinets,30000,Not Available,Not Available,1,100,Not Available,90018,2020,Manufacturing/Industrial Plant,12,33.7,53.1,12,33.7,1952,013,"20,000 to 49,999 sqft"
8567 BALBOA BLVD,409533905280,,NOT COMPLIED,,,,,,,,,,,,,,91325,2022,,,,,,,,040,"20,000 to 49,999 sqft"
20655 VANOWEN ST,385168893491,79.4,COMPLIED,-8.2,-8.2,64,No,Not Available,Not Available,"Vert Energy Group, Inc.",34268,Not Available,Not Available,1,100,Not Available,91306,2021,Multifamily Housing,38.3,106.6,188.5,38.4,106.7,1963,024,"20,000 to 49,999 sqft"
1210 W ADAMS BLVD,474712834354,42.1,COMPLIED,-58.8,-58.8,Not Available,No,Not Available,Not Available,"Bay Efficiency, LLC",27096,Not Available,Not Available,1,100,Not Available,90007,2021,Multifamily Housing,25.6,48.6,1149.8,25.6,48.6,2002,038,"20,000 to 49,999 sqft"
5688 ETIWANDA AVE,401184886378,62.9,COMPLIED,-12.1,-12.1,68,No,Not Available,Not Available,"Vert Energy Group, Inc.",22747,Not Available,Not Available,1,100,Not Available,91356,2022,Multifamily Housing,45.6,87,1217.1,46.8,88.2,1990,209,"20,000 to 49,999 sqft"
11450 SHELDON ST,446736912978,,NOT COMPLIED,,,,,,,,,,,,,,91352,2022,,,,,,,,023,"20,000 to 49,999 sqft"
5600 N FIGUEROA ST,503075862063,,NOT COMPLIED,,,,,,,,,,,,,,90042,2022,,,,,,,,001,"20,000 to 49,999 sqft"
7233 LOMA VERDE AVE,383290896418,5.7,COMPLIED,-93.4,-93.4,Not Available,No,Not Available,Not Available,7233 Loma Verde Apartments LLC,29250.0,Not Available,Not Available,1.0,95.0,Not Available,91303,2018,Multifamily Housing,2.8,7.8,2005.1,2.8,7.8,1988,017,"20,000 to 49,999 sqft"
9000 N BALBOA BLVD,410116908049,,NOT COMPLIED,,,,,,,,,,,,,,91325,2017,,,,,,,,012,"50,000 to 99,999 sqft"
11151 VANOWEN ST,448525893579,,NOT COMPLIED,,,,,,,,,,,,,,91605,2022,,,,,,,,036,"50,000 to 99,999 sqft"
5990 SEPULVEDA BLVD,420922887868,574.5,NOT COMPLIED,-9,-9,57,No,08/15/2017,"2017, 2016, 2015, 2004, 2002",Birtcher Anderson & Davis,145899,Not Available,Not Available,1,90,Not Available,91411,2020,Office,62.3,148.7,2991.9,62.7,146.5,1989,023,"100,000+ sqft"
810 E 3RD ST,490300839029,,NOT COMPLIED,,,,,,,,,,,,,,90013,2022,,,,,,,,016,"20,000 to 49,999 sqft"
255 W 7TH ST,475707726968,,NOT COMPLIED,,,,,,,,,,,,,,90731,2018,,,,,,,,027,"50,000 to 99,999 sqft"
3770 CRENSHAW BLVD,460285828922,9,NOT COMPLIED,-89,-89,Not Available,No,Not Available,Not Available,Public Storage,58293,36,0.62,1,100,Not Available,90016,2023,Self-Storage Facility,2.4,5.2,36,2.3,5.2,1990,019,"50,000 to 99,999 sqft"
4625 SYLMAR AVE,426500879250,62.7,COMPLIED,-12.2,-12.2,68,No,Not Available,Not Available,Landmark,27530,Not Available,Not Available,1,95,Not Available,91423,2021,Multifamily Housing,37.3,72.7,707.7,38,73.5,1972,016,"20,000 to 49,999 sqft"
13113 S FIGUEROA ST,475677790879,12.1,COMPLIED,-70.1,-70.1,93,No,Not Available,Not Available,Seville Classics,41600,Not Available,Not Available,1,100,Not Available,90248,2020,Distribution Center,4.4,12.2,44.9,4.4,12.2,1973,006,"20,000 to 49,999 sqft"
1750 N SYCAMORE AVE,457779860006,101,COMPLIED,-3,-3,54,No,Not Available,Not Available,"Bay Efficiency, LLC",34626,Not Available,Not Available,1,100,Not Available,90028,2018,Multifamily Housing,50.4,85.1,1705.6,50.3,85.1,1959,007,"20,000 to 49,999 sqft"
8810 TAMPA AVE,395327906834,1515,COMPLIED,-11.9,-11.9,62,No,Not Available,Not Available,Costco Wholesale,153627,8069,52.52,1,100,Not Available,91324,2017,Supermarket/Grocery Store,153.9,385.6,8069,150,373.8,1989,069,"100,000+ sqft"
9551 LAUREL CANYON BLVD,435994910894,124,COMPLIED,-48.9,-48.9,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",53888,Not Available,Not Available,1,100,Not Available,91331,2022,Multifamily Housing,38.5,69.7,3136.6,40.4,71.8,1983,018,"50,000 to 99,999 sqft"
