iso3,country,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,co2_emission_tons,HDI_Category
JAM,Jamaica,2022,0.706,70.629,2.827377,0.709739831,0.698557952,72.737,68.532,12.45977059,13.58827636,11.37668741,9.248188719,9.859584688,8.602610175,9694.522766,7647.112734,11774.95699,1.016,2.337027155,High
JPN,Japan,2022,0.92,84.82,123.951692,0.903613096,0.933381383,87.832,81.782,15.45631981,15.42416954,15.48670959,12.66923046,12.3520298,13.01966953,43643.86417,33478.22333,54395.40942,0.968,8.523454263,Very High
JOR,Jordan,2022,0.736,74.215,11.2858685,0.661558113,0.766688653,76.675,72.12,12.62659427,12.88729797,12.37726514,10.44668007,10.07157993,10.8373003,9294.801499,2752.787924,15380.3539,0.863,2.033264689,High
KAZ,Kazakhstan,2022,0.802,69.489,19.397998,0.799245143,0.801206388,72.995,65.776,14.81626987,15.02602959,14.61163998,12.43337895,12.45658094,12.40757382,22586.79889,18595.14333,26889.65873,0.998,13.2911398,Very High
KEN,Kenya,2022,0.601,62.055,54.027487,0.584533654,0.616722811,64.686,59.579,11.38448201,11.3814695,11.39047431,7.686359882,7.109600067,8.342940331,4807.716317,3976.574003,5653.521006,0.948,0.461419049,Medium
KIR,Kiribati,2022,0.628,67.661,0.1312315,0.555173243,0.653814373,69.386,65.731,11.80302,12.42732,11.25373,9.128581569,9.292067793,8.965095345,3440.416745,1099.924275,5903.401423,0.849,0.534002204,Medium
PRK,Korea (Democratic People's Rep. of),2022,0.731,73.578,26.0694165,0.672147234,0.766009458,76.146,70.973,12.95363998,12.16187,13.69042015,9.27328968,8.084269524,10.53159046,12641.31667,5413.859264,19809.55779,0.877,1.976608651,High
KOR,Korea (Republic of),2022,0.929,84.024,51.8158095,0.900442755,0.949875454,87.101,80.695,16.50964928,16.13555908,16.84387016,12.61409234,11.97633078,13.25834512,46026.4542,31062.94566,61036.76288,0.948,11.88642384,Very High
KWT,Kuwait,2022,0.847,80.264,4.268873,0.847552134,0.835979298,82.752,78.878,15.6911416,17.84918291,13.82607425,7.441742908,8.272894602,7.039573868,56729.18152,28017.72588,75231.9156,1.014,24.30127757,Very High
KGZ,Kyrgyzstan,2022,0.701,70.484,6.630623,0.689893361,0.707296353,74.929,66.218,12.99493027,13.15699005,12.83446026,11.96131992,11.88298442,12.04857289,4781.692046,3442.104307,6170.485612,0.975,1.445185572,High
LAO,Lao People's Democratic Republic,2022,0.62,68.999,7.529475,0.593276278,0.64528511,71.164,66.94,10.18749046,10.00139046,10.36781025,5.94697053,4.995009421,6.917600722,7744.837346,6379.81054,9088.32332,0.919,3.147046548,Medium
ZZH.LAC,Latin America and the Caribbean,2022,0.763,73.71508542,655.268078,0.758013976,0.765042416,76.88650989,70.61792361,14.7838412,15.34123318,14.2179872,8.967833002,9.00199674,8.928381799,15109.40615,11502.91753,18822.66105,0.991,2.629328545,High
LVA,Latvia,2022,0.879,75.927,1.850651,0.88656922,0.867729074,80.088,71.49,16.55606079,17.2518692,15.8921299,13.33330305,13.64862723,12.97307424,32082.98104,26344.50355,38715.98288,1.022,3.863827625,Very High
LBN,Lebanon,2022,0.723,74.416,5.4897395,0.689545665,0.743431443,76.597,72.237,12.05109224,12.79566002,11.29957437,8.602969077,8.047852662,9.158085491,12313.42257,6545.545361,18438.82237,0.928,4.19696919,High
LSO,Lesotho,2022,0.521,53.036,2.3058255,0.519217112,0.519562728,55.923,50.319,11.07051125,11.38711406,10.75514209,7.545058784,8.189024107,6.809400799,2708.731464,2128.814223,3304.367697,0.999,1.087245239,Low
LBR,Liberia,2022,0.487,61.1,5.302681,0.450796583,0.524471625,62.392,59.796,10.46585369,10.14880276,10.81455135,5.318104412,3.62626494,7.249448013,1330.419917,1162.707312,1499.483837,0.86,0.166607104,Low
LBY,Libya,2022,0.746,72.151,6.812341,0.738708929,0.747568012,74.759,69.736,13.977117,14.80444533,13.472613,7.77860643,8.435953453,7.18500215,19751.56758,12072.92702,27248.02915,0.988,9.491235476,High
LIE,Liechtenstein,2022,0.942,84.656,0.039327,0.924162866,0.97429544,86.129,83.019,15.46640015,14.51823997,16.43499947,12.351169,12.09086443,14.0497124,146673.2415,114828.8343,179045.0686,0.949,3.736776044,Very High
LTU,Lithuania,2022,0.879,74.293,2.750055,0.89090865,0.866628773,79.13,69.492,16.39982986,17.05356026,15.7968998,13.49810028,13.58351994,13.39519978,38131.23588,33011.65837,43911.68251,1.028,4.962838906,Very High
ZZD.LHD,Low human development,2022,0.517,61.6473648,1208.999528,0.478129736,0.550552029,63.71377185,59.68194968,9.252116393,8.906072044,9.631500147,4.665130408,3.872106413,5.495207549,3185.925418,2072.734184,4368.30271,0.868,0.444929203,Low
LUX,Luxembourg,2022,0.927,82.591,0.647599,0.920482138,0.927310681,84.77,80.445,14.19705009,14.31556988,14.08835983,12.9600811,12.93417865,12.96266954,78554.2364,66697.04897,90255.76002,0.993,13.18539513,Very High
MDG,Madagascar,2022,0.487,65.23,29.611714,0.472722095,0.499980323,67.617,62.97,9.213435879,9.330857735,9.0995213,4.592520237,4.292349815,4.935460091,1463.547925,1223.858425,1702.256419,0.945,0.147556758,Low
MWI,Malawi,2022,0.508,62.898,20.4053165,0.488791013,0.527854022,66.326,59.58,11.50487088,11.5095995,11.4867303,5.243740082,4.292150021,6.395669937,1432.472806,1191.301915,1687.144463,0.926,0.104496076,Low
MYS,Malaysia,2022,0.807,76.26,33.9382215,0.79442232,0.816079158,78.799,73.955,12.93247032,13.39496994,12.49645996,10.74828052,10.6902567,10.80320965,27295.41224,19262.03981,34983.46792,0.973,8.305928592,Very High
MDV,Maldives,2022,0.762,80.839,0.523787,0.748232807,0.767000753,81.844,80.065,12.17795095,13.33348102,11.23151446,7.762392544,7.869674371,7.655778428,18846.79219,12160.7956,23783.29128,0.976,3.299409156,High
MLI,Mali,2022,0.41,59.417,22.5935905,0.368306614,0.444000261,60.832,58.068,7.037249603,6.4333433,7.500483095,1.626710057,1.135959983,2.161859989,2043.672433,1332.552257,2741.074418,0.83,0.316284199,Low
MLT,Malta,2022,0.915,83.704,0.533286,0.903457283,0.922135095,85.703,81.644,15.86133957,16.6119709,15.20273018,12.21026039,12.00041962,12.40596962,44464.03057,33971.44852,54099.17102,0.98,3.050225155,Very High
MHL,Marshall Islands,2022,0.731,65.146,0.041569,0.707670091,0.74847358,67.092,63.546,16.38606071,17.01634026,15.80325031,12.81836718,12.74359657,12.89313779,6855.234566,4517.831534,9096.156737,0.945,3.63686088,High
MRT,Mauritania,2022,0.54,64.691,4.736139,0.502660511,0.574914848,66.447,62.965,8.051850319,8.160340309,7.957449913,4.754063344,4.11278431,5.779904924,5343.564069,3052.60059,7726.989095,0.874,0.965357551,Low
MUS,Mauritius,2022,0.796,73.975,1.299469,0.783594284,0.802880193,77.128,70.963,14.61009979,15.18282986,14.05863953,9.992049863,9.864661688,10.05361404,23251.62071,15593.82944,31124.12841,0.976,3.149474754,High
ZZC.MHD,Medium human development,2022,0.64,67.95257009,2169.348015,0.587354107,0.675311783,69.92210812,66.12952454,12.31547579,12.31428992,12.30552155,6.678403158,5.760893371,7.641517133,6444.262021,3126.605714,9637.698246,0.87,1.590683708,Medium
MEX,Mexico,2022,0.781,74.832,127.5041255,0.769920342,0.786801205,78.161,71.547,14.50529957,14.95950031,14.05300045,9.221050262,9.096670151,9.358039856,19138.00726,13547.80665,25008.11956,0.979,3.699878374,High
FSM,Micronesia (Federated States of),2022,0.634,70.925,0.114164,0.614999084,0.647233381,74.823,67.325,12.615048,12.74115867,12.48893733,7.33252398,6.8911421,7.7825449,3709.154916,2651.536437,4755.53135,0.95,1.351795706,Medium
MDA,Moldova (Republic of),2022,0.763,68.621,3.272996,0.776246379,0.751398863,73.32,64.217,14.90598011,15.38689041,14.44299984,11.8338152,11.87922207,11.78249767,12963.61829,12271.91157,13724.75298,1.033,1.828185213,High
MCO,Monaco,2022,0.579,86.895,0.036469,0.552530027,0.560205246,88.881,85.055,18.6915194,19.38840748,18.05397828,8.489093305,8.14626509,8.789596846,4551.658099,3012.627522,4277.23182,0.986,4.529911406,Medium
MNG,Mongolia,2022,0.741,72.667,3.398366,0.751138056,0.727754095,77.375,68.079,14.51719515,15.2856874,13.77597532,9.423700333,9.949589729,8.847709656,10350.86141,8099.013995,12639.57587,1.032,11.42747646,High
MNE,Montenegro,2022,0.844,76.845,0.6270825,0.833396974,0.852441413,80.262,73.48,15.08475971,15.55858994,14.63002968,12.61621288,12.0696905,13.19888451,22513.26314,17543.32196,27749.88278,0.978,3.67088789,Very High
MAR,Morocco,2022,0.698,74.973,37.4579705,0.62769515,0.73722659,77.177,72.896,14.59442043,14.49855042,14.68883991,6.05,5.14,6.98,7954.522461,2967.813616,12875.95846,0.851,1.959225801,Medium
MOZ,Mozambique,2022,0.461,59.625,32.9695185,0.443026083,0.477108277,62.688,56.529,10.72532345,10.32496843,11.12771273,3.860090017,3.228760004,4.394440174,1219.241361,1059.588454,1384.984659,0.929,0.22416011,Low
MMR,Myanmar,2022,0.608,67.256,54.179306,0.582895575,0.619449409,70.478,64.18,12.06090998,12.32135567,11.33528763,6.518157697,6.195670039,6.924247023,4037.705141,2545.032167,5544.449482,0.941,0.66209607,Medium
NAM,Namibia,2022,0.61,58.059,2.5670125,0.61186765,0.608128294,61.704,54.592,11.75997928,11.74091522,11.76220292,7.243458294,7.515436441,6.957704422,9200.026599,7827.178397,10672.50566,1.006,1.475168873,Medium
NRU,Nauru,2022,0.696,64.014,0.012668,0.708418745,0.683031041,67.841,60.52,12.56089218,14.37941093,11.04382186,9.247975,9.327438733,9.168511267,14938.55659,11557.62601,18213.35695,1.037,4.278315083,Medium
NPL,Nepal,2022,0.601,70.484,30.54758,0.56228259,0.635119215,72.364,68.608,12.64451981,12.82380009,12.46627045,4.485598758,3.424288376,5.71329857,4025.554685,2608.972525,5563.52862,0.885,0.520339794,Medium
NLD,Netherlands,2022,0.946,82.451,17.564014,0.925345508,0.964330297,83.904,80.944,18.58348083,18.94418907,18.23270988,12.58162975,12.3527298,12.81820965,57278.31015,44138.75911,70575.20185,0.96,7.99391099,Very High
NZL,New Zealand,2022,0.939,83.006,5.1852885,0.923885929,0.952721713,84.726,81.251,19.68234062,20.16286087,19.19734955,12.94468975,12.93587971,12.95394039,43665.49848,34940.48724,52542.06324,0.97,6.690024635,Very High
NIC,Nicaragua,2022,0.669,74.615,6.948392,0.647449551,0.6821586,77.556,71.613,12.58347787,12.26851409,12.83280479,7.26,7.54,6.95,5426.50618,3596.019567,7310.893926,0.949,0.78595264,Medium
NER,Niger,2022,0.394,62.08,26.2079765,0.353647715,0.428138733,63.401,60.816,7.186131428,6.492571987,7.857345925,1.341352433,0.965615989,1.772790407,1283.309235,892.9687724,1662.527106,0.826,0.120343462,Low
NGA,Nigeria,2022,0.548,53.633,218.5412115,0.514786405,0.580873335,53.968,53.295,10.51407,10.2043,10.83738,7.585969925,6.556469917,8.700360298,4754.836408,4110.221793,5385.706047,0.886,0.614401064,Low
MKD,North Macedonia,2022,0.765,73.888,2.0935985,0.74369174,0.783022218,76.16,71.733,13.00483036,13.4289999,12.60997009,10.22815037,9.653639793,10.8074398,16395.75173,11525.75224,21296.31224,0.95,3.65558424,High
NOR,Norway,2022,0.966,83.393,5.434319,0.957147512,0.970415403,85.055,81.718,18.63846016,19.5213604,17.80384064,13.06234279,13.21011267,12.91269245,69189.76165,61067.47743,77164.33022,0.986,7.573540802,Very High
OMN,Oman,2022,0.819,73.935,4.576298,0.780083394,0.832785671,76.046,72.356,12.96403027,13.46502972,12.58940983,11.89274979,12.27042007,11.69499016,32967.43827,13055.18531,45769.09652,0.937,15.67723806,Very High
PAK,Pakistan,2022,0.54,66.431,235.8248625,0.479544875,0.574877828,68.918,64.134,7.89510849,7.336258257,8.426956754,4.422319019,3.928515917,4.793410015,5374.270423,2120.097428,8571.08282,0.834,0.965638962,Low
PLW,Palau,2022,0.797,65.362,0.0180545,0.802126774,0.796834796,69.314,62.2,17.21987569,18.34244991,16.88344295,13.04790021,13.34296124,12.75283918,19343.81199,15158.95089,23217.78239,1.007,12.30304039,High
PSE,"Palestine, State of",2022,0.716,73.444,5.250072,0.648750215,0.73707141,75.948,71.024,13.15474033,13.95713997,12.35840988,9.938480377,9.916460037,9.960129738,6936.258684,2133.98822,11758.99805,0.88,0.667726135,High
PAN,Panama,2022,0.82,76.826,4.4085805,0.826278511,0.812639239,80.091,73.726,13.21381473,13.86388663,12.58595392,10.68696295,10.94374988,10.40059663,32029.36025,27610.88808,36447.35037,1.017,2.690641599,Very High
PNG,Papua New Guinea,2022,0.568,65.958,10.1426185,0.54619893,0.589011335,69.172,63.378,11.12736798,10.52003111,11.70354792,4.933631146,4.215786493,5.658960236,3710.326885,3218.98017,4171.434912,0.927,0.798668307,Medium
PRY,Paraguay,2022,0.731,70.475,6.780744,0.727869625,0.732240438,73.571,67.645,13.91056957,14.58406313,13.27027902,8.861840248,8.856229782,8.867710114,13161.07522,10348.65536,15954.05195,0.994,1.381977592,High
PER,Peru,2022,0.762,73.385,34.0495885,0.742111156,0.779496671,75.495,71.332,14.80487907,14.88586691,14.72138383,10.01696229,9.449307529,10.59717016,11916.35952,9515.281407,14365.2136,0.952,1.674913573,High
PHL,Philippines,2022,0.71,72.187,115.559009,0.694156215,0.718281318,74.174,70.218,12.78335953,13.21805954,12.37481022,8.971409559,9.24822052,8.691971992,9058.840558,6178.765308,11850.59109,0.966,1.253546618,High
POL,Poland,2022,0.881,76.996,39.8571455,0.884045116,0.875937118,80.796,73.233,15.93451977,16.7074604,15.1922102,13.1647501,13.34002972,12.96819973,35150.9519,27366.28107,43446.29766,1.009,8.642569909,Very High
PRT,Portugal,2022,0.874,82.24,10.270865,0.872538804,0.874035328,84.93,79.308,16.82140923,17.07019997,16.57933044,9.575940132,9.607560158,9.538669586,35314.99828,31845.37525,39198.81947,0.998,3.881234231,Very High
QAT,Qatar,2022,0.875,81.559,2.695122,0.892561376,0.869100423,83.101,80.626,13.26426983,15.28956032,12.64908981,10.1317219,11.79638314,9.737610384,95944.37754,47963.67663,114134.8423,1.027,39.88427351,Very High
ROU,Romania,2022,0.827,74.117,19.6592665,0.817798791,0.833503726,77.619,70.724,14.50753021,15.04965019,13.99917984,11.36019615,11.09125994,11.65099415,31641.38368,22594.6875,41297.21764,0.981,3.993603248,Very High
RUS,Russian Federation,2022,0.821,70.116,144.713314,0.829113224,0.811700148,75.702,64.689,15.66174936,15.84734259,15.48440459,12.41152954,12.48219967,12.32425976,26991.84961,21781.1736,33000.80885,1.021,11.79848928,Very High
RWA,Rwanda,2022,0.548,67.129,13.7766975,0.523555778,0.568669607,69.244,64.813,11.38352013,11.49433041,11.28065968,4.878310204,4.522069931,5.351920128,2316.809277,1662.218331,3000.009352,0.921,0.115399861,Low
KNA,Saint Kitts and Nevis,2022,0.838,72.027,0.0476575,0.650752796,0.672694371,75.666,68.682,18.40703011,19.72978973,17.04659081,10.8494008,11.1219032,10.5768984,28441.68074,6608.130781,13824.47536,0.967,4.672520271,Very High
LCA,Saint Lucia,2022,0.725,71.294,0.1798575,0.728905001,0.719471901,74.887,68.005,12.71032047,13.39239979,12.05115986,8.576973425,8.837794323,8.326679395,14778.3463,11815.12887,17806.87554,1.013,2.594252189,High
VCT,Saint Vincent and the Grenadines,2022,0.772,68.972,0.1039475,0.623330444,0.664542034,71.731,66.693,16.2530213,16.42287899,16.09251246,10.99625387,11.03757668,10.98694817,14049.14799,2067.959672,4945.270332,0.938,2.267377219,High
WSM,Samoa,2022,0.702,72.598,0.222382,0.686605036,0.709133201,75.333,70.146,12.4364,12.98814,11.93062,11.36735585,11.76791141,10.95704259,4970.232074,3314.285804,6562.379682,0.968,1.153480463,High
SMR,San Marino,2022,0.867,83.433,0.0336605,0.852912779,0.883209541,84.733,82.036,12.40295982,11.98106003,12.88761044,10.52074301,10.6984396,10.51924979,57686.54334,50410.10236,65363.01089,0.966,0.395801999,Very High
STP,Sao Tome and Principe,2022,0.613,68.794,0.2273795,0.579418428,0.747957045,71.938,66.054,12.6637182,12.93469946,12.4790407,5.915788918,5.273353992,6.690563659,4054.106945,7940.265663,70911.05993,0.775,0.653094703,Medium
SAU,Saudi Arabia,2022,0.875,77.905,36.40882,0.832017761,0.896577417,79.525,76.666,15.17204484,15.52692067,14.817169,11.31052971,10.73622036,11.67045021,50620.43706,24647.00035,69723.10773,0.928,17.56422655,Very High
SEN,Senegal,2022,0.517,67.913,17.316449,0.495771393,0.5361777,70.2,65.473,9.144550323,9.885959625,8.420060158,2.88736686,2.344075379,3.749680778,3463.806076,2256.290564,4711.642134,0.925,0.683799933,Low
SRB,Serbia,2022,0.805,74.137,7.2213655,0.799076289,0.810054566,76.975,71.276,14.50444031,15.19604015,13.84924984,11.5047611,11.18731102,11.85118344,19494.00891,15909.29829,23388.21081,0.986,6.017170065,Very High
SYC,Seychelles,2022,0.802,71.738,0.1071185,0.828841854,0.778751744,76.042,68.237,13.89179039,15.44649982,12.60849953,11.19995,12.03576,10.36414,28385.74806,24755.95126,31650.50554,1.064,6.223478694,Very High
SLE,Sierra Leone,2022,0.458,60.411,8.605718,0.432336767,0.488413833,61.693,59.115,9.016348244,9.446272874,8.966736887,3.519426358,2.426674879,4.805853409,1612.666542,1325.681618,1898.409207,0.885,0.131795192,Low
SGP,Singapore,2022,0.949,84.133,5.9756885,0.945324824,0.95407755,86.295,81.981,16.90273094,17.03401947,16.81064034,11.92488003,11.62705994,12.2547102,88761.14559,76610.8678,99844.2365,0.991,9.397481258,Very High
SVK,Slovakia,2022,0.855,75.33,5.643453,0.855647033,0.853861092,78.813,71.929,14.72154999,15.27138042,14.19748974,13.00719575,12.98776118,13.02834917,32171.24606,26633.64435,37966.64017,1.002,6.455440557,Very High
SVN,Slovenia,2022,0.926,82.133,2.119844,0.923820774,0.924914759,84.616,79.626,17.40657997,18.34461021,16.58584023,12.88015724,12.93550703,12.82303929,41586.89849,35263.69953,47842.54054,0.999,6.16209228,Very High
SLB,Solomon Islands,2022,0.562,70.742,0.7242725,0.554388815,0.57817317,72.358,69.294,10.30071445,11.0673969,9.664592558,5.8796802,5.509549573,6.84283385,2273.311097,1997.656674,2537.394949,0.959,0.426699969,Medium
SOM,Somalia,2022,0.38,56.107,17.597511,0.327082937,0.425210819,58.233,54.072,7.647232333,7.5813078,8.34582125,1.900300026,0.885770023,2.914999962,1072.201461,578.2964179,1563.454431,0.769,0.038125863,Low
ZAF,South Africa,2022,0.717,61.48,59.8938855,0.710137452,0.720676609,64.181,58.597,14.26364994,14.84506989,13.69876003,11.60696983,11.4988699,11.72364044,13185.56419,10423.35232,16095.30677,0.985,7.166394002,High
ZZI.SA,South Asia,2022,0.641,68.44154341,2007.549714,0.580274395,0.678378449,70.38433943,66.66829443,11.87464212,11.7738884,11.96732735,6.629606612,5.739562614,7.530264763,6971.625949,2958.327086,10808.31513,0.855,1.875160671,Medium
SSD,South Sudan,2022,0.381,55.567,10.9131635,0.735891983,0.777736266,57.047,54.036,5.634770141,4.510310007,6.738390029,5.726140022,4.762169838,6.189479828,690.6607575,15457.00731,39587.38815,0.946,0.171581069,Low
ESP,Spain,2022,0.911,83.912,47.5586295,0.901995576,0.913042885,86.549,81.2,17.80905914,18.43926048,17.20244026,10.60540009,10.52787018,10.68844986,40043.33773,32834.64684,47542.89462,0.988,4.849112709,Very High
LKA,Sri Lanka,2022,0.78,76.61,21.832143,0.750765016,0.792700012,80.23,72.851,13.64182201,14.11550272,13.18408462,11.24960995,11.12806034,11.38661957,11899.49847,6241.114077,17989.8154,0.947,0.924001861,High
ZZJ.SSA,Sub-Saharan Africa,2022,0.549,60.63969999,1146.742474,0.525080667,0.573585129,62.6219532,58.70798644,10.31800779,10.1661443,10.51037631,5.975956597,5.190163834,6.874385639,3666.202926,3024.774319,4388.270245,0.915,0.7202711,Low
